UF,Ano,PIB_mil_reais,Populacao,Area_km2,Densidade_hab_km2,PIB_per_capita
Acre,2002,2971301,586942.0,164122.3,4.47,5062.341764603658
Acre,2003,3377234,600595.0,164122.3,4.47,5623.147045846203
Acre,2004,3784003,630328.0,164122.3,4.47,6003.228477871839
Acre,2005,4300581,669736.0,164122.3,4.47,6421.307798893892
Acre,2006,4661807,686652.0,164122.3,4.47,6789.18433209253
Acre,2008,6410255,680075.0,164122.3,4.47,9425.805977281918
Acre,2009,7407821,691132.0,164122.3,4.47,10718.388093736074
Acre,2011,8949434,746386.0,164122.3,4.47,11990.35619639168
Acre,2012,10137925,758786.0,164122.3,4.47,13360.716987398291
Acre,2013,11473930,776463.0,164122.3,4.47,14777.175473911828
Acre,2014,13458698,790101.0,164122.3,4.47,17034.148798697886
Acre,2015,13622802,803513.0,164122.3,4.47,16954.053014699202
Acre,2016,13754240,816687.0,164122.3,4.47,16841.507211453103
Acre,2017,14272941,829619.0,164122.3,4.47,17204.211812892423
Acre,2018,15331123,869265.0,164122.3,4.47,17636.880583021288
Acre,2019,15630017,881935.0,164122.3,4.47,17722.413783328702
Acre,2020,16476371,894470.0,164122.3,4.47,18420.26116024014
Acre,2021,21374440,906876.0,164122.3,4.47,23569.308262651124
Alagoas,2002,11536853,2887535.0,27779.3,112.33,3995.3984973342313
Alagoas,2003,12624030,2917664.0,27779.3,112.33,4326.75935268763
Alagoas,2004,14044907,2980910.0,27779.3,112.33,4711.617257817244
Alagoas,2005,15484521,3015912.0,27779.3,112.33,5134.2748064267125
Alagoas,2006,17395671,3050652.0,27779.3,112.33,5702.279709386715
Alagoas,2008,22262295,3127560.0,27779.3,112.33,7118.103249817749
Alagoas,2009,24182388,3156108.0,27779.3,112.33,7662.091411320525
Alagoas,2011,31657321,3143384.0,27779.3,112.33,10071.09567268905
Alagoas,2012,34650397,3165472.0,27779.3,112.33,10946.360290029417
Alagoas,2013,37282529,3300935.0,27779.3,112.33,11294.535942089135
Alagoas,2014,40974994,3321730.0,27779.3,112.33,12335.437859187832
Alagoas,2015,46367211,3340932.0,27779.3,112.33,13878.525812557693
Alagoas,2016,49468741,3358963.0,27779.3,112.33,14727.384910164239
Alagoas,2017,52851067,3375823.0,27779.3,112.33,15655.757721894779
Alagoas,2018,54413047,3322820.0,27779.3,112.33,16375.562624517728
Alagoas,2019,58963729,3337357.0,27779.3,112.33,17667.791908387386
Alagoas,2020,63202349,3351543.0,27779.3,112.33,18857.687041461202
